"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"39","Aaron Jones","GB","rb","11","16","197.1","20","0","0","0","0","0","0","178.7999","798.2334","8.1851","46.7678","37.819","234.2775","1.2001","0.8657","0.4329","0.0749","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Phillip Lindsay","DEN","rb","10","16","193.2","19","0","0","0","0","0","0","189.2773","813.0414","6.1353","51.7751","42.1365","266.6267","1.0692","0.5734","0.2867","0.0983","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Marlon Mack","IND","rb","6","16","187.2","17","0","0","0","0","0","0","216.4824","922.0585","6.8205","34.4383","28.3838","184.8905","1.0869","0.9869","0.4934","0.5622","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Kenny Golladay","DET","wr","5","16","213.8","17","0","0","0","0","0","0","0","0","0","108.8719","69.4915","1072.5477","6.1331","0.2018","0.1009","0.1666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","Robert Woods","LA","wr","9","16","213.6","17","0","0","0","0","0","0","8.2199","52.1643","0.3038","112.4238","78.4126","971.018","5.16","0.4475","0.2237","0.1408","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","Patrick Mahomes","KC","qb","12","16","352.8","17","394.4997","582.9908","4325.1484","34.1923","13.2375","34.5974","80.7395","268.1051","5.0954","0","0","0","0","7.8998","3.9499","1.3897","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","Sony Michel","NE","rb","10","16","183.8","16","0","0","0","0","0","0","243.864","983.1617","8.7626","22.2049","17.3218","120.0877","0.6771","1.3235","0.6617","0.0929","621.442","0.189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","Chris Godwin","TB","wr","7","16","210.1","16","0","0","0","0","0","0","0","0","0","108.0196","73.0521","1044.4896","5.4357","1.1979","0.5989","0.2822","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","Tarik Cohen","CHI","rb","6","16","181.4","16","0","0","0","0","0","0","80.6722","327.0494","2.2797","80.0628","62.4426","582.1624","2.528","1.8372","0.9186","0.0337","496.4572","0.3735","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Derrick Henry","TEN","rb","11","16","179.6","15","0","0","0","0","0","0","229.5385","997.9886","8.5917","18.0193","14.8419","106.9016","0.5355","1.1102","0.5551","0.0477","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","Sammy Watkins","KC","wr","12","16","206.8","15","0","0","0","0","0","0","7.3418","47.3555","0.2542","103.7278","72.2937","922.3929","5.9998","0.5706","0.2853","0.1501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","Deshaun Watson","HST","qb","10","16","345.7","15","330.0472","509.9847","3948.8809","26.0177","13.6499","56.4225","130.309","636.2294","5.9412","0","0","0","0","8.0753","4.0376","1.0325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","Chris Carson","SEA","rb","11","16","172","13","0","0","0","0","0","0","218.3192","921.7162","6.4478","25.0683","20.7029","151.131","0.904","1.6698","0.8349","0.3627","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","D.J. Moore","CAR","wr","7","16","198.4","13","0","0","0","0","0","0","11.0133","90.4662","0.336","102.6588","69.6159","877.3115","5.0524","1.1953","0.5976","0.1566","404.3721","0.2662","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Alshon Jeffery","PHI","wr","10","16","197.6","12","0","0","0","0","0","0","0","0","0","101.1465","66.2779","910.967","6.5925","0.3683","0.1841","0.4481","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","Cooper Kupp","LA","wr","9","16","196.3","12","0","0","0","0","0","0","0","0","0","96.3633","71.7142","947.2053","4.9594","0.4178","0.2089","0.1806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","Mike Williams","LAC","wr","12","16","194.8","12","0","0","0","0","0","0","3.8516","23.4344","0.1271","93.633","57.4589","884.4951","7.5544","0.2193","0.1097","0.2742","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","Tyler Boyd","CIN","wr","9","16","192","11","0","0","0","0","0","0","0","0","0","97.268","69.884","912.1391","5.1134","0.2283","0.1141","0.1812","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","Calvin Ridley","ATL","wr","9","16","191","11","0","0","0","0","0","0","7.1592","46.0849","0.2075","95.628","67.2317","804.2084","6.2386","0.6052","0.3026","0.1662","77.1578","0.0228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","Evan Engram","NYG","te","11","16","175.6","11","0","0","0","0","0","0","0","0","0","100.2359","69.2659","793.2448","4.459","0.1628","0.0814","0.1577","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","Mark Ingram II","BLT","rb","8","16","160.6","10","0","0","0","0","0","0","169.1074","708.4371","5.1182","43.3493","35.2553","205.308","0.6957","1.8851","0.9426","0.0299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
